content,month_str,value
Rounds: private_equity,2012-10,4
Rounds: private_equity,2012-11,11
Rounds: private_equity,2012-12,9
Rounds: private_equity,2013-01,23
Rounds: private_equity,2013-02,24
Rounds: private_equity,2013-03,29
Rounds: private_equity,2013-04,33
Rounds: private_equity,2013-05,83
Rounds: private_equity,2013-06,97
Rounds: private_equity,2013-07,137
Rounds: private_equity,2013-08,137
Rounds: private_equity,2013-09,147
Rounds: private_equity,2013-10,146
Rounds: private_equity,2013-11,42
Rounds: private_equity,2013-12,40
Rounds: private_equity,2014-01,44
Rounds: private_equity,2014-02,52
Rounds: private_equity,2014-03,36
Rounds: private_equity,2014-04,46
Rounds: private_equity,2014-05,74
Rounds: private_equity,2014-06,72
Rounds: private_equity,2014-07,40
Rounds: private_equity,2014-08,41
Rounds: private_equity,2014-09,46
Rounds: private_equity,2014-10,58
Rounds: private_equity,2014-11,6
Rounds: product_crowdfunding,2011-01,1
Rounds: product_crowdfunding,2011-08,1
Rounds: product_crowdfunding,2012-07,1
Rounds: product_crowdfunding,2012-08,1
Rounds: product_crowdfunding,2012-10,1
Rounds: product_crowdfunding,2012-12,2
Rounds: product_crowdfunding,2013-05,2
Rounds: product_crowdfunding,2013-06,3
Rounds: product_crowdfunding,2013-07,6
Rounds: product_crowdfunding,2013-08,15
Rounds: product_crowdfunding,2013-09,31
Rounds: product_crowdfunding,2013-10,14
Rounds: product_crowdfunding,2013-11,13
Rounds: product_crowdfunding,2013-12,16
Rounds: product_crowdfunding,2014-01,25
Rounds: product_crowdfunding,2014-02,10
Rounds: product_crowdfunding,2014-03,7
Rounds: product_crowdfunding,2014-04,4
Rounds: product_crowdfunding,2014-05,13
Rounds: product_crowdfunding,2014-06,11
Rounds: product_crowdfunding,2014-07,14
Rounds: product_crowdfunding,2014-08,13
Rounds: product_crowdfunding,2014-09,13
Rounds: product_crowdfunding,2014-10,10
Rounds: product_crowdfunding,2014-11,2
Rounds: secondary_market,2009-09,1
Rounds: secondary_market,2010-07,1
Rounds: secondary_market,2011-09,1
Rounds: secondary_market,2013-12,17
Rounds: secondary_market,2014-01,3
Rounds: secondary_market,2014-02,1
Rounds: secondary_market,2014-03,2
